import time: self [us] | cumulative | imported package
import time:       379 |        379 |               scipy.special._multiufuncs
import time:       526 |        526 |               scipy.special._orthogonal
import time:       222 |        222 |               scipy.special._ellip_harm
import time:       185 |        185 |               scipy.special._lambertw
import time:       215 |        215 |               scipy.special._spherical_bessel
import time:       237 |        237 |                 scipy._lib.deprecation
import time:       179 |        415 |               scipy.special.add_newdocs
import time:       188 |        188 |               scipy.special.basic
import time:       177 |        177 |               scipy.special.orthogonal
import time:       164 |        164 |               scipy.special.specfun
import time:       162 |        162 |               scipy.special.sf_error
import time:       195 |        195 |               scipy.special.spfun_stats
import time:      1109 |      33664 |             scipy.ndimage._interpolation
import time:       376 |        376 |               scipy.ndimage._ni_label
import time:       355 |        355 |               scipy.ndimage._morphology
import time:       328 |       1058 |             scipy.ndimage._measurements
import time:       262 |      38458 |           scipy.ndimage._ndimage_api
import time:       248 |        248 |           scipy.ndimage._delegators
import time:     24390 |     344545 |         scipy.ndimage._support_alternative_backends
import time:       236 |        236 |         scipy.ndimage.filters
import time:       175 |        175 |         scipy.ndimage.fourier
import time:       183 |        183 |         scipy.ndimage.interpolation
import time:       172 |        172 |         scipy.ndimage.measurements
import time:       170 |        170 |         scipy.ndimage.morphology
import time:       403 |     358960 |       scipy.ndimage
import time:       835 |        835 |                 colour.hints
import time:       436 |       1271 |               colour.utilities.verbose
import time:       235 |        235 |                 colour.utilities.documentation
import time:       314 |        549 |               colour.utilities.structures
import time:       211 |        211 |               colour.utilities.requirements
import time:       448 |        448 |               colour.utilities.callback
import time:     16729 |      16729 |                 unicodedata
import time:       328 |        328 |                   colour.constants.cie
import time:       182 |        182 |                   colour.constants.codata
import time:       190 |        190 |                   colour.constants.common
import time:       384 |       1082 |                 colour.constants
import time:       285 |        285 |                 xxhash
import time:      2113 |      20207 |               colour.utilities.common
import time:       514 |        514 |               colour.utilities.array
import time:      3222 |       3222 |                   colour.utilities.deprecation
import time:       353 |        353 |                   colour.algebra.common
import time:       324 |        324 |                     colour.algebra.coordinates.transformations
import time:       241 |        564 |                   colour.algebra.coordinates
import time:     36544 |      36544 |                             _ssl
import time:      2224 |      38767 |                           ssl
import time:       767 |        767 |                           asyncio.constants
import time:       507 |        507 |                           asyncio.coroutines
import time:       679 |        679 |                             asyncio.format_helpers
import time:       805 |        805 |                               asyncio.base_futures
import time:       812 |        812 |                               asyncio.exceptions
import time:       727 |        727 |                               asyncio.base_tasks
import time:     16770 |      19113 |                             _asyncio
import time:       797 |      20588 |                           asyncio.events
import time:       686 |        686 |                           asyncio.futures
import time:       647 |        647 |                           asyncio.protocols
import time:       616 |        616 |                             asyncio.transports
import time:       504 |        504 |                             asyncio.log
import time:      1162 |       2281 |                           asyncio.sslproto
import time:       555 |        555 |                               asyncio.mixins
import time:       760 |       1314 |                             asyncio.locks
import time:       745 |        745 |                               asyncio.queues
import time:       792 |        792 |                               asyncio.timeouts
import time:       737 |       2273 |                             asyncio.tasks
import time:       565 |       4152 |                           asyncio.staggered
import time:       520 |        520 |                           asyncio.trsock
import time:      1398 |      70309 |                         asyncio.base_events
import time:       602 |        602 |                         asyncio.runners
import time:       676 |        676 |                         asyncio.streams
import time:       556 |        556 |                         asyncio.subprocess
import time:       505 |        505 |                         asyncio.taskgroups
import time:       478 |        478 |                         asyncio.threads
import time:     16857 |      16857 |                           _overlapped
import time:       749 |        749 |                           asyncio.base_subprocess
import time:      1100 |       1100 |                           asyncio.proactor_events
import time:       987 |        987 |                           asyncio.selector_events
import time:       681 |        681 |                           asyncio.windows_utils
import time:       910 |      21282 |                         asyncio.windows_events
import time:       851 |      95255 |                       asyncio
import time:      2110 |      97365 |                     unittest.mock
import time:       382 |        382 |                             scipy.interpolate._fitpack
import time:       352 |        352 |                             scipy.interpolate._dfitpack
import time:      1095 |       1828 |                           scipy.interpolate._fitpack_impl
import time:       649 |        649 |                                   scipy.linalg._fblas
import time:        57 |         57 |                                   scipy.linalg._cblas
import time:       360 |       1065 |                                 scipy.linalg.blas
import time:      1131 |       1131 |                                   scipy.linalg._flapack
import time:        56 |         56 |                                   scipy.linalg._clapack
import time:       825 |       2010 |                                 scipy.linalg.lapack
import time:       512 |       3586 |                               scipy.linalg._misc
import time:      1313 |       1313 |                                 scipy.linalg.cython_lapack
import time:      1499 |       2811 |                               scipy.linalg._cythonized_array_utils
import time:      3257 |       3257 |                                 scipy.linalg._decomp
import time:      1415 |       1415 |                                 scipy.linalg._decomp_svd
import time:       413 |        413 |                                 scipy.linalg._solve_toeplitz
import time:       410 |        410 |                                 scipy.linalg._batched_linalg
import time:      3688 |       9182 |                               scipy.linalg._basic
import time:       365 |        365 |                                 scipy.linalg._decomp_lu_cython
import time:       753 |       1117 |                               scipy.linalg._decomp_lu
import time:       683 |        683 |                               scipy.linalg._decomp_ldl
import time:      1326 |       1326 |                               scipy.linalg._decomp_cholesky
import time:      1229 |       1229 |                               scipy.linalg._decomp_qr
import time:      1165 |       1165 |                               scipy.linalg._decomp_qz
import time:       996 |        996 |                               scipy.linalg._decomp_schur
import time:       547 |        547 |                               scipy.linalg._decomp_polar
import time:       720 |        720 |                                 scipy.linalg._expm_frechet
import time:       475 |        475 |                                 scipy.linalg._matfuncs_schur_sqrtm
import time:       458 |        458 |                                 scipy.linalg._matfuncs_expm
import time:       438 |        438 |                                 scipy.linalg._linalg_pythran
import time:      2648 |       4737 |                               scipy.linalg._matfuncs
import time:      1411 |       1411 |                               scipy.linalg._special_matrices
import time:      1372 |       1372 |                               scipy.linalg._solvers
import time:      1039 |       1039 |                               scipy.linalg._procrustes
import time:       534 |        534 |                                 scipy.linalg.cython_blas
import time:      2011 |       2544 |                               scipy.linalg._decomp_update
import time:       757 |        757 |                               scipy.linalg._sketches
import time:       406 |        406 |                               scipy.linalg._decomp_cossin
import time:       255 |        255 |                               scipy.linalg.decomp
import time:       229 |        229 |                               scipy.linalg.decomp_cholesky
import time:       219 |        219 |                               scipy.linalg.decomp_lu
import time:       216 |        216 |                               scipy.linalg.decomp_qr
import time:       262 |        262 |                               scipy.linalg.decomp_svd
import time:       217 |        217 |                               scipy.linalg.decomp_schur
import time:       231 |        231 |                               scipy.linalg.basic
import time:       215 |        215 |                               scipy.linalg.misc
import time:       222 |        222 |                               scipy.linalg.special_matrices
import time:       224 |        224 |                               scipy.linalg.matfuncs
import time:       593 |      37779 |                             scipy.linalg
import time:       398 |        398 |                                       scipy.sparse._sputils
import time:       229 |        229 |                                       scipy.sparse._matrix
import time:       706 |       1332 |                                     scipy.sparse._base
import time:       308 |        308 |                                       scipy.sparse._sparsetools
import time:       367 |        367 |                                         scipy.sparse._data
import time:       253 |        253 |                                         scipy.sparse._index
import time:       443 |       1062 |                                       scipy.sparse._compressed
import time:       331 |       1701 |                                     scipy.sparse._csr
import time:       317 |        317 |                                     scipy.sparse._csc
import time:       606 |        606 |                                       scipy.sparse._csparsetools
import time:       480 |       1086 |                                     scipy.sparse._lil
import time:       418 |        418 |                                     scipy.sparse._dok
import time:       623 |        623 |                                     scipy.sparse._coo
import time:       334 |        334 |                                     scipy.sparse._dia
import time:       342 |        342 |                                     scipy.sparse._bsr
import time:      1321 |       1321 |                                     scipy.sparse._construct
import time:       199 |        199 |                                     scipy.sparse._extract
import time:       196 |        196 |                                     scipy.sparse._matrix_io
import time:       176 |        176 |                                     scipy.sparse.base
import time:       171 |        171 |                                     scipy.sparse.bsr
import time:       163 |        163 |                                     scipy.sparse.compressed
import time:       168 |        168 |                                     scipy.sparse.construct
import time:       161 |        161 |                                     scipy.sparse.coo
import time:       159 |        159 |                                     scipy.sparse.csc
import time:       165 |        165 |                                     scipy.sparse.csr
import time:       185 |        185 |                                     scipy.sparse.data
import time:       160 |        160 |                                     scipy.sparse.dia
import time:       169 |        169 |                                     scipy.sparse.dok
import time:       162 |        162 |                                     scipy.sparse.extract
import time:       166 |        166 |                                     scipy.sparse.lil
import time:       164 |        164 |                                     scipy.sparse.sparsetools
import time:       179 |        179 |                                     scipy.sparse.sputils
import time:       584 |      10788 |                                   scipy.sparse
import time:       416 |        416 |                                       scipy.sparse.linalg._interface
import time:       330 |        330 |                                       scipy.sparse.linalg._isolve.utils
import time:       419 |       1164 |                                     scipy.sparse.linalg._isolve.iterative
import time:       207 |        207 |                                     scipy.sparse.linalg._isolve.minres
import time:       226 |        226 |                                       scipy.sparse.linalg._isolve._gcrotmk
import time:       199 |        425 |                                     scipy.sparse.linalg._isolve.lgmres
import time:       222 |        222 |                                     scipy.sparse.linalg._isolve.lsqr
import time:       229 |        229 |                                     scipy.sparse.linalg._isolve.lsmr
import time:       192 |        192 |                                     scipy.sparse.linalg._isolve.tfqmr
import time:       381 |       2817 |                                   scipy.sparse.linalg._isolve
import time:       554 |        554 |                                       scipy.sparse.linalg._dsolve._superlu
import time:       293 |        293 |                                         scikits
import time:        21 |        314 |                                       scikits.umfpack
import time:       379 |       1246 |                                     scipy.sparse.linalg._dsolve.linsolve
import time:       263 |        263 |                                     scipy.sparse.linalg._dsolve._add_newdocs
import time:       254 |       1762 |                                   scipy.sparse.linalg._dsolve
import time:       434 |        434 |                                         scipy.sparse.linalg._eigen.arpack._arpacklib
import time:       552 |        985 |                                       scipy.sparse.linalg._eigen.arpack.arpack
import time:       274 |       1258 |                                     scipy.sparse.linalg._eigen.arpack
